tweet_id,tweet_text,date,user_id,name,follower_count,retweet_count,user_mentions
1374542111169732609,@RepAdamSchiff So quit talking on social media and go do something about it.,03/24/2021,764725592,MR. VACATION,25,0,"[{'screen_name': 'RepAdamSchiff', 'name': 'Adam Schiff', 'id': 29501253, 'id_str': '29501253', 'indices': [0, 14]}]"
1374541856965591040,@Bleezal @libtards_i @SpellingStori @RepAdamSchiff I tried but your ever so creative responses keep me coming back,03/24/2021,1164499776274124800,Crypto Hopeful,151,0,"[{'screen_name': 'Bleezal', 'name': 'Bleezal', 'id': 103448012, 'id_str': '103448012', 'indices': [0, 8]}, {'screen_name': 'libtards_i', 'name': 'IHateLibtards', 'id': 1363823291048296453, 'id_str': '1363823291048296453', 'indices': [9, 20]}, {'screen_name': 'SpellingStori', 'name': 'Stori_Spelling', 'id': 1317069625197285377, 'id_str': '1317069625197285377', 'indices': [21, 35]}, {'screen_name': 'RepAdamSchiff', 'name': 'Adam Schiff', 'id': 29501253, 'id_str': '29501253', 'indices': [36, 50]}]"
1374541831246118913,@RepAdamSchiff The NRA and unregulated militias are terrorists!!!,03/24/2021,182222599,Pat Chambers Kazanjian,111,0,"[{'screen_name': 'RepAdamSchiff', 'name': 'Adam Schiff', 'id': 29501253, 'id_str': '29501253', 'indices': [0, 14]}]"
1374541813256749056,"@RepAdamSchiff Youre surrounded by armed military, and you want to take OUR guns? You hypnotically fool.",03/24/2021,19312116,George Don Spruill,81,0,"[{'screen_name': 'RepAdamSchiff', 'name': 'Adam Schiff', 'id': 29501253, 'id_str': '29501253', 'indices': [0, 14]}]"
1374541809444077575,@RepAdamSchiff Perfect timing too https://t.co/bM8PSmoVAK,03/24/2021,1353586804235104256,MsPat,0,0,"[{'screen_name': 'RepAdamSchiff', 'name': 'Adam Schiff', 'id': 29501253, 'id_str': '29501253', 'indices': [0, 14]}]"
1374541801789353985,"@SpeakerPelosi Please change Mitch McConnell's twitter title to Minority Leader. 

Perception matters. 

NOW it is https://t.co/UKvzPg7jFX",03/24/2021,815731893005991937,Justintime,392,0,"[{'screen_name': 'SpeakerPelosi', 'name': 'Nancy Pelosi', 'id': 15764644, 'id_str': '15764644', 'indices': [0, 14]}]"
1374541725331562496,"RT @skyco_g: @tedlieu Reinstate The Assault Weapons Ban
@POTUS @VP @SpeakerPelosi @RepAdamSchiff @HouseDemocrats @SenateDems
You have a maj",03/24/2021,15879550,SavoySummer,6509,3,"[{'screen_name': 'skyco_g', 'name': 'Ken Dyar Anti-Racist - Anti-Sexist', 'id': 53388429, 'id_str': '53388429', 'indices': [3, 11]}, {'screen_name': 'tedlieu', 'name': 'Ted Lieu', 'id': 21059255, 'id_str': '21059255', 'indices': [13, 21]}, {'screen_name': 'POTUS', 'name': 'President Biden', 'id': 1349149096909668363, 'id_str': '1349149096909668363', 'indices': [56, 62]}, {'screen_name': 'VP', 'name': 'Vice President Kamala Harris', 'id': 803694179079458816, 'id_str': '803694179079458816', 'indices': [63, 66]}, {'screen_name': 'SpeakerPelosi', 'name': 'Nancy Pelosi', 'id': 15764644, 'id_str': '15764644', 'indices': [67, 81]}, {'screen_name': 'RepAdamSchiff', 'name': 'Adam Schiff', 'id': 29501253, 'id_str': '29501253', 'indices': [82, 96]}, {'screen_name': 'HouseDemocrats', 'name': 'House Democrats', 'id': 43963249, 'id_str': '43963249', 'indices': [97, 112]}, {'screen_name': 'SenateDems', 'name': 'Senate Democrats', 'id': 73238146, 'id_str': '73238146', 'indices': [113, 124]}]"
1374541533593006085,"@metrolosangeles @DogsAreBetter10 @chaney1992 @RepAdamSchiff Anna, this is not a one time event, but a pattern of a https://t.co/Y7s3VaY7A8",03/24/2021,9676022,Dudley Saunders,666,0,"[{'screen_name': 'metrolosangeles', 'name': 'LA Metro', 'id': 14631598, 'id_str': '14631598', 'indices': [0, 16]}, {'screen_name': 'DogsAreBetter10', 'name': 'M', 'id': 1244724869599653888, 'id_str': '1244724869599653888', 'indices': [17, 33]}, {'screen_name': 'chaney1992', 'name': 'Mark Chaney', 'id': 1296098093960585218, 'id_str': '1296098093960585218', 'indices': [34, 45]}, {'screen_name': 'RepAdamSchiff', 'name': 'Adam Schiff', 'id': 29501253, 'id_str': '29501253', 'indices': [46, 60]}]"
1374541445097398274,@RepAdamSchiff We also need protection against our own federal govt that protects federal agencies who use their au https://t.co/QrFxtZCpTz,03/24/2021,2894224817,Monica francis,3,0,"[{'screen_name': 'RepAdamSchiff', 'name': 'Adam Schiff', 'id': 29501253, 'id_str': '29501253', 'indices': [0, 14]}]"
1374541416303448064,"@RepAdamSchiff @9_BulletPoints Sadly, there are so many, I can no longer list all of them by memory.....tragic does quite cover what it is",03/24/2021,2393151139,Bigvla22,18,0,"[{'screen_name': 'RepAdamSchiff', 'name': 'Adam Schiff', 'id': 29501253, 'id_str': '29501253', 'indices': [0, 14]}, {'screen_name': '9_BulletPoints', 'name': 'NotOnMyWatch', 'id': 832758079280312320, 'id_str': '832758079280312320', 'indices': [15, 30]}]"
